artdeco-button__text	artdeco-button__text (2)	pvs-header__title	EgGGwITsUmGQhLgXdzztfuzStxvFQFnnCboWrzk (3)	visually-hidden (2)	pvs-entity__caption-wrapper	visually-hidden (3)	ivm-view-attr__img--centered src	ivm-view-attr__img--centered src (2)	visually-hidden (4)	visually-hidden (5)	visually-hidden (6)	visually-hidden (7)	visually-hidden (8)	visually-hidden (9)	visually-hidden (10)	ivm-view-attr__img--centered src (3)	ivm-view-attr__img--centered src (4)	visually-hidden (11)	visually-hidden (12)	visually-hidden (13)	visually-hidden (14)	visually-hidden (15)	visually-hidden (16)	visually-hidden (17)	visually-hidden (18)	visually-hidden (19)	visually-hidden (21)	visually-hidden (22)	visually-hidden (23)	optional-action-target-wrapper href	optional-action-target-wrapper href (2)	display-flex	t-14	t-14 (2)	optional-action-target-wrapper href (3)	optional-action-target-wrapper href (4)	display-flex (2)	t-14 (3)	pvs-entity__caption-wrapper (2)	optional-action-target-wrapper href (5)	optional-action-target-wrapper href (6)	display-flex (3)	optional-action-target-wrapper href (7)	optional-action-target-wrapper href (8)	display-flex (4)	EgGGwITsUmGQhLgXdzztfuzStxvFQFnnCboWrzk (4)	EgGGwITsUmGQhLgXdzztfuzStxvFQFnnCboWrzk (5)	optional-action-target-wrapper href (11)	pvs-navigation__text	pvs-navigation__text (2)	text-heading-small	artdeco-tab	artdeco-tab (2)
Message	Follow																																																				
		About	Data scientist at Arsenal F.C. Previously, four years taking care of Candy Crush franchise. Oversaw the launch of Candy Crush Soda and Candy Crush Jelly.	Data scientist at Arsenal F.C. Previously, four years taking care of Candy Crush franchise. Oversaw the launch of Candy Crush Soda and Candy Crush Jelly.																																																	
Show all posts		Activity		1,907 followers	1,907 followers	Loaded 8 Posts posts	https://media.licdn.com/dms/image/v2/C4D03AQFTmYtn0npw2g/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1631983775289?e=1759363200&v=beta&t=_O8zwCc18eNQBRvm9olwe7s7GHSWoc2skevHhwRXk8I	https://media.licdn.com/dms/image/v2/D4E03AQGHL_jsMa5XZw/profile-displayphoto-shrink_100_100/B4EZODBOlZHAAk-/0/1733069959136?e=1759363200&v=beta&t=QMM3h_x3rba80vNDa4-jo7WKChie8RSzY7reZl6j5sI	Elif Bukum	Verified • 3rd+	Data Analyst | Python, R, Excel, Statistics, Sampling, Linear Regression, A/B Testing	7 months ago • Visible to anyone on or off LinkedIn	hashtag	hashtag	hashtag	https://media.licdn.com/dms/image/v2/C4D03AQFTmYtn0npw2g/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1631983775289?e=1759363200&v=beta&t=_O8zwCc18eNQBRvm9olwe7s7GHSWoc2skevHhwRXk8I	https://media.licdn.com/dms/image/v2/D4E03AQGHL_jsMa5XZw/profile-displayphoto-shrink_100_100/B4EZODBOlZHAAk-/0/1733069959136?e=1759363200&v=beta&t=QMM3h_x3rba80vNDa4-jo7WKChie8RSzY7reZl6j5sI	Elif Bukum	Verified • 3rd+	Data Analyst | Python, R, Excel, Statistics, Sampling, Linear Regression, A/B Testing	7 months ago • Visible to anyone on or off LinkedIn	hashtag	hashtag	hashtag	hashtag	hashtag	hashtag	Activate to view larger image,	Activate to view larger image,																								
		Experience	FA Cup 🏆 x 1	First Team Data Scientist	Jul 2018 - Present · 7 yrs 2 mos	Co-founder	https://media.licdn.com/dms/image/v2/D4E0BAQFHHkkjYu7rWg/company-logo_100_100/company-logo_100_100/0/1738583305914/arsenal_f_c_logo?e=1759363200&v=beta&t=ejBt64oV0GZPvH_GTZhPt_Pxze2ulDQVFZAljIDZngg	https://media.licdn.com/dms/image/v2/C560BAQE_WUW-DKgRjA/company-logo_100_100/company-logo_100_100/0/1630653989678/kambisports_logo?e=1759363200&v=beta&t=Sc2Zl7PCy7HPkpBLyv87nQkLR9hLlIwFR6JQI-27ToY	Arsenal F.C · Full-time	Jul 2018 to Present · 7 yrs 2 mos	London Area, United Kingdom	FA Cup 🏆 x 1	Co-founder	ZX Games	Dec 2005 to Present · 19 yrs 9 mos	https://media.licdn.com/dms/image/v2/D4E0BAQGahqXJ1nLzBg/company-logo_100_100/B4EZc7kyqqH0AU-/0/1749051190518/king_logo?e=1759363200&v=beta&t=B0i8lN6N1EOflTzjyhaL37DEwZZJBmxCyZV_-Ah_hCE	https://media.licdn.com/dms/image/v2/D4E0BAQEKo8RSbFptLA/company-logo_100_100/company-logo_100_100/0/1706794863353/klarna_logo?e=1759363200&v=beta&t=4QLAa7qXHWKr1xmvAx4mLdRBumsiNyUwpVhpwp8U8M8	Remakes of classic video games Lode Runner and Boulder Dash.	Lead Data Scientist	Kambi	Feb 2017 to Jun 2018 · 1 yr 5 mos	Greater Stockholm Metropolitan Area	Data exploration tools & dashboards. Research into player behaviour. Predictive modelling.	Data Scientist → Senior Data Scientist + Tech Lead	King.com	Feb 2013 to Feb 2017 · 4 yrs 1 mo	All things data science for Candy Crush franchise. Oversaw the launch of Candy Crush Soda and Candy Crush Jelly.	Decision Analyst	Klarna AB	https://www.linkedin.com/company/1967036/	https://www.linkedin.com/company/1967036/	First Team Data Scientist	Arsenal F.C · Full-time	London Area, United Kingdom	https://www.linkedin.com/search/results/all/?keywords=ZX+Games	https://www.linkedin.com/search/results/all/?keywords=ZX+Games	Co-founder	ZX Games	Dec 2005 - Present · 19 yrs 9 mos	https://www.linkedin.com/company/1416736/	https://www.linkedin.com/company/1416736/	Lead Data Scientist	https://www.linkedin.com/company/230546/	https://www.linkedin.com/company/230546/	Data Scientist → Senior Data Scientist + Tech Lead	All things data science for Candy Crush franchise. Oversaw the launch of Candy Crush Soda and Candy Crush Jelly.	Prevention of online payment fraud by identifying patterns in user behaviour.	https://www.linkedin.com/in/mikhailzhilkin/details/experience?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM	Show all 8 experiences				
		Education		Moscow Institute of Physics and Technology (State University) (MIPT)	2000 - 2006	Chuvash-Turkish Lyceum	https://media.licdn.com/dms/image/v2/C4E0BAQEBw1Y3fw-u1Q/company-logo_100_100/company-logo_100_100/0/1631357428609?e=1759363200&v=beta&t=X8zetrGbX6jgal12ns-lH3hiIwCBdt43x0dKWCivKm8		Master of Science - MS, Applied Physics and Mathematics	2000 - 2006	1996 - 2000		Chuvash-Turkish Lyceum	Secondary education																https://www.linkedin.com/company/15097716/	https://www.linkedin.com/company/15097716/	Moscow Institute of Physics and Technology (State University) (MIPT)	Master of Science - MS, Applied Physics and Mathematics		https://www.linkedin.com/search/results/all/?keywords=Chuvash-Turkish+Lyceum	https://www.linkedin.com/search/results/all/?keywords=Chuvash-Turkish+Lyceum	Chuvash-Turkish Lyceum	Secondary education	1996 - 2000														
		Licenses & certifications		Hive quries	Issued Jun 2015	Hive quries	https://media.licdn.com/dms/image/v2/C4D0BAQGexnfBxeEG-g/company-logo_100_100/company-logo_100_100/0/1630530042036/coursera_logo?e=1759363200&v=beta&t=NnpbsUDcZTqM6o-LJMTrnPfBQqKzdzeQxjaWf5abyLE		Matte & Jan-Erik	Issued Jun 2015	Issued May 2014		A Beginner's Guide to Irrational Behavior	Coursera																https://www.linkedin.com/company/2453129/	http://www.zhilkin.com/docs/Hive%20quries.pdf	Hive quries	Matte & Jan-Erik		http://www.zhilkin.com/docs/Hive%20quries.pdf	https://www.coursera.org/maestro/api/certificate/get_certificate?course_id=972152	A Beginner's Guide to Irrational Behavior	Coursera	Issued May 2014	https://www.coursera.org/maestro/api/certificate/get_certificate?course_id=972152								https://www.linkedin.com/in/mikhailzhilkin/details/certifications?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM	Show all 9 licenses & certifications	Show credential			
		Projects	Lode Runner reworked to perfection. Unforgettable spirit of the original game, improved gameplay, well thought-out user interface and level editor.	Lode Runner remake			https://media.licdn.com/dms/image/v2/D4E03AQELMol2K7UiRQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1680486010120?e=1759363200&v=beta&t=lBxcamKNVR_T8Jw3X5P8fk6vxg8zgtNcaWsjnj9Zop0	https://media.licdn.com/dms/image/v2/D5635AQGL59AQstKZ-Q/profile-framedphoto-shrink_100_100/B56ZjPLmjwHcAk-/0/1755822582283?e=1757271600&v=beta&t=HAOfpIi6nqIi3gx4ryoJfluAv7PBw3BGstJOZnyJUKY	Dec 2005 - May 2010	Associated with ZX Games	Boulder Dash remake	Lode Runner reworked to perfection. Unforgettable spirit of the original game, improved gameplay, well thought-out user interface and level editor.	Dec 2005 - Nov 2008	Associated with ZX Games	Other contributors			Completely reworked version of the original Boulder Dash.												https://www.linkedin.com/in/mikhailzhilkin/overlay/urn:li:fsd_profileProject:(ACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM,60)/creators?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM		Lode Runner remake	Dec 2005 - May 2010	Dec 2005 - Nov 2008	http://www.zxgames.com/loderunner		Associated with ZX Games			http://www.zxgames.com/boulderdash		Boulder Dash remake			Associated with ZX Games	Completely reworked version of the original Boulder Dash.			Show project	Show project	Other contributors		
		Skills	Endorsed by Noa Tamir who is highly skilled at this	Data Analysis		Noa Tamir profile picture	https://media.licdn.com/dms/image/v2/D4E0BAQGahqXJ1nLzBg/company-logo_100_100/B4EZc7kyqqH0AU-/0/1749051190518/king_logo?e=1759363200&v=beta&t=B0i8lN6N1EOflTzjyhaL37DEwZZJBmxCyZV_-Ah_hCE	https://media.licdn.com/dms/image/v2/D4E03AQFLmCgXdSlsbA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1672822545467?e=1759363200&v=beta&t=ML2RnQt3pUXezbaadjhH4dEuqGaoHhCsV7IFdavDIaw	Endorsed by Noa Tamir who is highly skilled at this	Endorsed by 10 colleagues at King	22 endorsements	Endorsed by Mathias Golombek who is highly skilled at this	Analytics	Endorsed by 8 colleagues at King	19 endorsements	https://media.licdn.com/dms/image/v2/D4E0BAQGahqXJ1nLzBg/company-logo_100_100/B4EZc7kyqqH0AU-/0/1749051190518/king_logo?e=1759363200&v=beta&t=B0i8lN6N1EOflTzjyhaL37DEwZZJBmxCyZV_-Ah_hCE														https://www.linkedin.com/in/mikhailzhilkin/overlay/urn:li:fsd_skill:(ACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM,20)/endorsers?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM&tabIndex=1&modalTabIndex=1	https://www.linkedin.com/search/results/all/?keywords=Data+Analysis&origin=PROFILE_PAGE_SKILL_NAVIGATION	Data Analysis			https://www.linkedin.com/in/mikhailzhilkin/overlay/urn:li:fsd_skill:(ACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM,20)/endorsers?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM&tabIndex=2&modalTabIndex=2	https://www.linkedin.com/search/results/all/?keywords=Analytics&origin=PROFILE_PAGE_SKILL_NAVIGATION	Analytics			https://www.linkedin.com/in/mikhailzhilkin/details/skills/urn:li:fsd_skill:(ACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM,20)/endorsers?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM&tabIndex=0&modalTabIndex=0&detailScreenTabIndex=0	https://www.linkedin.com/in/mikhailzhilkin/overlay/urn:li:fsd_skill:(ACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM,21)/endorsers?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM&tabIndex=1&modalTabIndex=1		https://www.linkedin.com/in/mikhailzhilkin/overlay/urn:li:fsd_skill:(ACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM,21)/endorsers?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM&tabIndex=2&modalTabIndex=2	https://www.linkedin.com/in/mikhailzhilkin/details/skills/urn:li:fsd_skill:(ACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM,21)/endorsers?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM&tabIndex=0&modalTabIndex=0&detailScreenTabIndex=0		Endorsed by 10 colleagues at King	Endorsed by Mathias Golombek who is highly skilled at this	https://www.linkedin.com/in/mikhailzhilkin/details/skills?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM	Show all 23 skills				
		Recommendations	"Mikhail is an awesome guy to work with, full of ideas and initiatives that generate huge interest among his peers. 
 
He is definitely that genius personality every top team should have."	Received	August 1, 2014, Rubeus worked with Mikhail but on different teams		https://media.licdn.com/dms/image/v2/C4E03AQHOt9IIuuWo0A/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1647077286736?e=1759363200&v=beta&t=-fqqSvJ34DxDKh7zr8R1lqiCrjcHgPS9QUcGm7qmDpc	https://media.licdn.com/dms/image/v2/C5603AQFjCz4Sz92i3w/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1578372712854?e=1759363200&v=beta&t=nhkuVwdH5NSXniWKDrcFFUKKGm7ygVaRWwbNaTiSnq8	Given	Rubeus Hagrid	I should not have said that... I Should. Not. Have. Said. That.	August 1, 2014, Rubeus worked with Mikhail but on different teams	Mikhail is an awesome guy to work with, full of ideas and initiatives that generate huge interest among his peers. He is definitely that genius personality every top team should have.	Aleksey Sergeyev	Project manager			March 3, 2012, Aleksey was Mikhail’s client	I quite enjoyed working with Mikhail on a user manual for a software application my company developed. He did a good job making the document look better, not limiting himself to editing the text, but improving the page layout, typography, etc. His attention to detail was very refreshing.											https://www.linkedin.com/in/rubeushagrid	https://www.linkedin.com/in/rubeushagrid	Rubeus Hagrid	I should not have said that... I Should. Not. Have. Said. That.	Project manager	https://www.linkedin.com/in/%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9-%D1%81%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2-54059a46	https://www.linkedin.com/in/%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9-%D1%81%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2-54059a46	Aleksey Sergeyev		March 3, 2012, Aleksey was Mikhail’s client	https://www.linkedin.com/in/mikhailzhilkin/details/recommendations?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM&tabIndex=0&detailScreenTabIndex=0						I quite enjoyed working with Mikhail on a user manual for a software application my company developed. He did a good job making the document look better, not limiting himself to editing the text, but improving the page layout, typography, etc. His attention to detail was very refreshing.			Show all 4 received			Received	Given
		Publications	Mikhail Zhilkin, a data scientist who has worked on projects ranging from Candy Crush games to Premier League football players’ physical performance, shares his strong views on some of the best and, more importantly, worst practices in data analytics and business intelligence. Why data science is hard, what pitfalls analysts and decision-makers fall into, and what everyone involved can do to give themselves a fighting chance—the book examines these and other questions with the skepticism of someone who has seen the sausage being made.	Running more than before? The evolution of running load demands in the English Premier League			https://media.licdn.com/dms/image/v2/D4E03AQGpustcoxEtfQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1712708390402?e=1759363200&v=beta&t=y66aqs76DRO1Cf_zCupYEBQNWTS_x0zhjTEvY4lpBUU		International Journal of Sports Science & Coaching · Apr 3, 2023		Data Science Without Makeup: A Guidebook for End-Users, Analysts, and Managers	Mikhail Zhilkin, a data scientist who has worked on projects ranging from Candy Crush games to Premier League football players’ physical performance, shares his strong views on some of the best and, more importantly, worst practices in data analytics and business intelligence. Why data science is hard, what pitfalls analysts and decision-makers fall into, and what everyone involved can do to give themselves a fighting chance—the book examines these and other questions with the skepticism of someone who has seen the sausage being made.	Chapman and Hall/CRC · Sep 18, 2021		Other authors															https://www.linkedin.com/in/mikhailzhilkin/overlay/urn:li:fsd_profilePublication:(ACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM,1209477291)/authors?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAHvVy4Boqy82OO4ZMRD5nrEGXS0kLlf9xM		Running more than before? The evolution of running load demands in the English Premier League	International Journal of Sports Science & Coaching · Apr 3, 2023	Chapman and Hall/CRC · Sep 18, 2021	https://journals.sagepub.com/doi/10.1177/17479541231164507					https://www.routledge.com/Data-Science-Without-Makeup-A-Guidebook-for-End-Users-Analysts-and-Managers/Zhilkin/p/book/9780367520687		Data Science Without Makeup: A Guidebook for End-Users, Analysts, and Managers							Show publication	Show publication	Other authors		
