ember-view href	EgGGwITsUmGQhLgXdzztfuzStxvFQFnnCboWrzk	EgGGwITsUmGQhLgXdzztfuzStxvFQFnnCboWrzk (2)	ember-view href (2)	ember-view	DXNSlbosknJbpjnPjPkcXtduFQjWIw href	t-black--light	artdeco-button__text	artdeco-button__text (2)	pvs-header__title	EgGGwITsUmGQhLgXdzztfuzStxvFQFnnCboWrzk (3)	visually-hidden (2)	optional-action-target-wrapper href	DXNSlbosknJbpjnPjPkcXtduFQjWIw href (2)	DXNSlbosknJbpjnPjPkcXtduFQjWIw href (3)	DXNSlbosknJbpjnPjPkcXtduFQjWIw href (4)	visually-hidden (3)	DXNSlbosknJbpjnPjPkcXtduFQjWIw href (5)	visually-hidden (4)	DXNSlbosknJbpjnPjPkcXtduFQjWIw href (6)	visually-hidden (5)	DXNSlbosknJbpjnPjPkcXtduFQjWIw href (7)	visually-hidden (6)	visually-hidden (7)	visually-hidden (8)	visually-hidden (9)	visually-hidden (10)	visually-hidden (11)	visually-hidden (12)	visually-hidden (13)	visually-hidden (14)	visually-hidden (15)	visually-hidden (16)	visually-hidden (17)	visually-hidden (18)	visually-hidden (19)	visually-hidden (20)	visually-hidden (21)	optional-action-target-wrapper href (2)	ivm-view-attr__img--centered src	optional-action-target-wrapper href (3)	optional-action-target-wrapper href (4)	optional-action-target-wrapper href (5)	ivm-view-attr__img--centered src (2)	optional-action-target-wrapper href (6)	pvs-entity__caption-wrapper	display-flex	t-14	t-14 (2)	hoverable-link-text	display-flex (2)	t-14 (3)	pvs-entity__caption-wrapper (2)	optional-action-target-wrapper href (7)	pvs-navigation__text	pvs-navigation__text (3)	artdeco-tab	artdeco-tab (2)
https://www.linkedin.com/in/y510/overlay/about-this-profile/	Oracle	Indian Institute of Management Bangalore	https://www.linkedin.com/in/y510/overlay/contact-info/	Contact info	https://beacons.ai/cazualdatatalks	500+ connections	Follow	Message																																																	
									About	"Senior Data scientist with 5 years of experience working for Oracle, Target, EY and IBM.

Furthermore, Yash's holds an EPGP (Executive Post Graduate Program) in Data Science and AI from the prestigious IIM Bangalore. This program has equipped him with advanced knowledge and skills in the latest data science and artificial intelligence techniques, making him an ideal candidate for roles that demand cutting-edge expertise.

Yash's technical skills are formidable, encompassing machine learning, Python, SQL(Hive) and natural language processing (NLP). His ability to work with these tools and techniques is not only extensive but also refined, allowing him to approach complex problems with analytical precision.

In summary, Yash's combination of practical experience, strong academic foundation, and technical proficiency positions him as a compelling choice for any role in the Analytics or Data Science field. His dedication to excellence and passion for data-driven decision-making make him an exceptional candidate."	Senior Data scientist with 5 years of experience working for Oracle, Target, EY and IBM. Furthermore, Yash's holds an EPGP (Executive Post Graduate Program) in Data Science and AI from the prestigious IIM Bangalore. This program has equipped him with advanced knowledge and skills in the latest data science and artificial intelligence techniques, making him an ideal candidate for roles that demand cutting-edge expertise. Yash's technical skills are formidable, encompassing machine learning, Python, SQL(Hive) and natural language processing (NLP). His ability to work with these tools and techniques is not only extensive but also refined, allowing him to approach complex problems with analytical precision. In summary, Yash's combination of practical experience, strong academic foundation, and technical proficiency positions him as a compelling choice for any role in the Analytics or Data Science field. His dedication to excellence and passion for data-driven decision-making make him an exceptional candidate.																																														
https://www.linkedin.com/in/nitish-singh-03412789/			https://www.linkedin.com/in/shankar-venkatagiri-402456/	Nitish Singh	https://www.linkedin.com/company/oracle/	181 comments			Featured	"Data Analyst to Senior Data Scientist in 1.5 Years! 🚀

Excited to announce I joined Oracle as Senior Data Scientist. 🚀

Not a LinkedIn Creator, but let me try to share my genuine experience on how I achieved it. Pursuing data science courses and certifications is just a small part of the journey, given the abundance of resources available in market. However, there are aspects beyond the curriculum that are invaluable and It can't be taught but could be developed by sheer will.

💫 Self-Belief : Many individuals tend to self-reject, some don't even try. Why should a hiring manager believe in you if you don't believe in yourself? The magic begins when you start having confidence in your efforts and learning.

💫 Perseverance: Continued effort to pursue or achieve something despite difficulties or failures.

💫 Creating Opportunities: If you're not getting your dream project to apply your skills, don't despair. Start by identifying a problem statement and work towards solving it. I understand it can be overwhelming at first, but remember, the term ""Scientist"" in ""Data Scientist"" embodies ""Experimentation."" Don't let a title define your abilities.

💫 Curiosity: Stay curious! There's no magical course or degree that will teach you everything in this rapidly changing field.

💫 Stop believing that other people know it all : No, Not everybody is Einstein here . People knows the basic and they have the right attitude of figuring things out to build the product. Learning & Developing is a parallel process.

I strongly believe these qualities will help you stand out. I Trust you but its the time you should start trusting yourself.

Special mention to “Nitish Singh ( CampusX) and Shankar Venkatagiri( Indian Institute of Management Bangalore) for their Valuable teachings.


hashtag
#growth 
hashtag
#DataScience 
hashtag
#Dataanalyst 
hashtag
#Dataengineer 
hashtag
#CareerAdvice 
hashtag
#interview 
hashtag
#placement 
hashtag
#ProfessionalGrowth 
hashtag
#SelfBelief 
hashtag
#Curiosity 
hashtag
#Perseverance 
hashtag
#DataAnalytics 
hashtag
#CareerDevelopment 
hashtag
#LearningJourney 
hashtag
#OpportunityCreation 
hashtag
#ContinuousLearning 
hashtag
#DataScientistMindset 
hashtag
#CareerTransition 
hashtag
#TechSkills 
hashtag
#PersonalGrowth 
hashtag
#Empowerment 
hashtag
#Oracle 
hashtag
#Faang 
hashtag
#Promotion"	Post	https://www.linkedin.com/feed/update/urn:li:activity:7188190783022198785?updateEntityUrn=urn%3Ali%3Afs_feedUpdate%3A%28V2%2Curn%3Ali%3Aactivity%3A7188190783022198785%29	https://www.linkedin.com/company/campusx-official/	https://www.linkedin.com/company/indian-institute-of-management-bangalore/	https://www.linkedin.com/search/results/all/?keywords=%23growth&origin=HASH_TAG_FROM_FEED	hashtag	https://www.linkedin.com/search/results/all/?keywords=%23datascience&origin=HASH_TAG_FROM_FEED	hashtag	https://www.linkedin.com/search/results/all/?keywords=%23dataanalyst&origin=HASH_TAG_FROM_FEED	hashtag	https://www.linkedin.com/search/results/all/?keywords=%23dataengineer&origin=HASH_TAG_FROM_FEED	hashtag	hashtag	hashtag	hashtag	hashtag	hashtag	hashtag	hashtag	hashtag	hashtag	hashtag	hashtag	hashtag	hashtag	hashtag	hashtag	https://www.linkedin.com/feed/update/urn:li:activity:7188190783022198785?updateEntityUrn=urn%3Ali%3Afs_feedUpdate%3A%28V2%2Curn%3Ali%3Aactivity%3A7188190783022198785%29	https://media.licdn.com/dms/image/v2/D5622AQGokrH8UW4heA/feedshare-shrink_480/feedshare-shrink_480/0/1713798230926?e=1759363200&v=beta&t=d8gA39Yci3qPeqGQDTGSVIWYE6YiOAXb8l2-5aiGmrA	https://www.linkedin.com/feed/update/urn:li:activity:7188190783022198785?updateEntityUrn=urn%3Ali%3Afs_feedUpdate%3A%28V2%2Curn%3Ali%3Aactivity%3A7188190783022198785%29	https://www.linkedin.com/feed/update/urn:li:activity:7189962210528395264?updateEntityUrn=urn%3Ali%3Afs_feedUpdate%3A%28V2%2Curn%3Ali%3Aactivity%3A7189962210528395264%29	https://www.linkedin.com/feed/update/urn:li:activity:7189962210528395264?updateEntityUrn=urn%3Ali%3Afs_feedUpdate%3A%28V2%2Curn%3Ali%3Aactivity%3A7189962210528395264%29	https://media.licdn.com/dms/image/v2/D5622AQEaQJeVo4C0Lg/feedshare-shrink_480/feedshare-shrink_480/0/1714220573278?e=1759363200&v=beta&t=xZr_-q6AtlxtVXYSO-gWUhBZYG_-EyOB1jAKJKbClVI	https://www.linkedin.com/feed/update/urn:li:activity:7189962210528395264?updateEntityUrn=urn%3Ali%3Afs_feedUpdate%3A%28V2%2Curn%3Ali%3Aactivity%3A7189962210528395264%29													
	Congrats Shankar sir🎉	Ager biryani pet mai liye, gym kr rhe ho toh…zinda ho tum.			https://www.linkedin.com/feed/update/urn:li:activity:7364698697856675841?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7364698697856675841%2C7364729259573112832%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287364729259573112832%2Curn%3Ali%3Aactivity%3A7364698697856675841%29		Follow	Show all comments	Activity		8,596 followers		https://www.linkedin.com/feed/update/urn:li:activity:7364698697856675841?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7364698697856675841%2C7364729259573112832%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287364729259573112832%2Curn%3Ali%3Aactivity%3A7364698697856675841%29	https://www.linkedin.com/feed/update/urn:li:activity:7352901387460005888?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7352901387460005888%2C7352973261372116992%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287352973261372116992%2Curn%3Ali%3Aactivity%3A7352901387460005888%29	https://www.linkedin.com/feed/update/urn:li:activity:7352901387460005888?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7352901387460005888%2C7352973261372116992%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287352973261372116992%2Curn%3Ali%3Aactivity%3A7352901387460005888%29	1w	https://www.linkedin.com/feed/update/urn:li:ugcPost:7350103076944412674?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7350103076944412674%2C7350139526800977920%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287350139526800977920%2Curn%3Ali%3AugcPost%3A7350103076944412674%29	Congrats Shankar sir🎉	https://www.linkedin.com/feed/update/urn:li:ugcPost:7350103076944412674?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7350103076944412674%2C7350139526800977920%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%287350139526800977920%2Curn%3Ali%3AugcPost%3A7350103076944412674%29	1mo	https://www.linkedin.com/in/y510/recent-activity/comments/	Ager biryani pet mai liye, gym kr rhe ho toh…zinda ho tum.	1mo	Congrats Rathore! Proud of u 👏																					8,596 followers												
									Experience		Senior Data Scientist	https://www.linkedin.com/company/1028/				Oracle · Full-time		Apr 2024 to Present · 1 yr 5 mos		India · Hybrid		Data Analyst	Target · Full-time	Aug 2022 to Apr 2024 · 1 yr 9 mos	EY	Full-time · 11 mos	Pune, Maharashtra, India	Consultant - Data & Analytics	Feb 2022 to Jul 2022 · 6 mos	Associate Consultant - Data & Analytics	Sep 2021 to Jan 2022 · 5 mos	IBM	Full-time · 2 yrs 4 mos	Business Inteligence - Tableau developer	Aug 2020 to Sep 2021 · 1 yr 2 mos	Oracle Jd Edwards	Jun 2019 to Jul 2020 · 1 yr 2 mos	https://www.linkedin.com/company/1028/	https://media.licdn.com/dms/image/v2/D4E0BAQHYCgYovUuPtQ/company-logo_100_100/company-logo_100_100/0/1665755678957/oracle_logo?e=1759363200&v=beta&t=TUQNNBTu5oJvX0ZEU4g2iDuafXrt82RW7VhjFxKT1jo	https://www.linkedin.com/in/y510/overlay/urn:li:fsd_profilePosition:(ACoAAAcVp2YB7mPihmNxTgI2tYVcyhAi_4oxgdk,2381717194)/skill-associations-details?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAcVp2YB7mPihmNxTgI2tYVcyhAi_4oxgdk	https://www.linkedin.com/company/1512/	https://www.linkedin.com/company/1512/	https://media.licdn.com/dms/image/v2/C4E0BAQGUjozudTh0yg/company-logo_100_100/company-logo_100_100/0/1631307593526?e=1759363200&v=beta&t=6P8eSPqVnG8Gqi4ybpUqRTL-P-FUXkrnKyIUouUR4WA	https://www.linkedin.com/company/1073/	Apr 2024 - Present · 1 yr 5 mos	Senior Data Scientist	Oracle · Full-time	India · Hybrid	LangChain, Artificial Intelligence (AI) and +4 skills	Data Analyst	Target · Full-time	Aug 2022 - Apr 2024 · 1 yr 9 mos	https://www.linkedin.com/company/1073/				
									Education		Indian Institute of Management Bangalore	https://www.linkedin.com/company/157273/				Executive Programme, Data science & AI		Sep 2022 - Jul 2023		2015 - 2019		Jabalpur Engineering College	Bachelor of Engineering - BE, Electronics and Communications Engineering															https://www.linkedin.com/company/157273/	https://media.licdn.com/dms/image/v2/D560BAQHs72ZWWphbEg/company-logo_100_100/company-logo_100_100/0/1712558415762/indian_institute_of_management_bangalore_logo?e=1759363200&v=beta&t=F-pZ0QKdcbonIXf4-wV_tHnrU4a32Zarofgk9uKvD5A	https://www.linkedin.com/in/y510/overlay/urn:li:fsd_profileEducation:(ACoAAAcVp2YB7mPihmNxTgI2tYVcyhAi_4oxgdk,903538725)/skill-associations-details?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAcVp2YB7mPihmNxTgI2tYVcyhAi_4oxgdk	https://www.linkedin.com/company/5733005/	https://www.linkedin.com/company/5733005/	https://media.licdn.com/dms/image/v2/C4D0BAQEBZHBj0AZayQ/company-logo_100_100/company-logo_100_100/0/1644034646272?e=1759363200&v=beta&t=eVkWuNk6oS-VKiWX4ZD-fbtD_k4L8V4scBhmD2a-uxA		Sep 2022 - Jul 2023	Indian Institute of Management Bangalore	Executive Programme, Data science & AI		python, Natural Language Processing (NLP) and +3 skills	Jabalpur Engineering College	Bachelor of Engineering - BE, Electronics and Communications Engineering	2015 - 2019					
									Licenses & certifications		IIBA-Entry Certificate in Business Analysis™ (ECBA™)	https://www.linkedin.com/company/51934/				IIBA		Issued Mar 2021		Issued Mar 2021		Microsoft Excel Expert (Microsoft 365 Apps and Office 2019)	Microsoft															https://badges.iiba.org/72e37d43-b5bb-4019-9c04-50a07b59142c	https://media.licdn.com/dms/image/v2/C560BAQEcvMzijM6ryg/company-logo_100_100/company-logo_100_100/0/1630566810556/iiba_logo?e=1759363200&v=beta&t=jOqDSTV1vMSvP-K0a1meQyPHqBbERv27OS_adkw_asQ	https://badges.iiba.org/72e37d43-b5bb-4019-9c04-50a07b59142c	https://www.linkedin.com/company/1035/	https://www.youracclaim.com/badges/de1041a2-7ab2-4456-b13c-29bfc0ea573b?source=linked_in_profile	https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=1759363200&v=beta&t=HobFyDuHNQEHLgDySlwVP1ryX6D5wagdCqlQ4PV8aeU	https://www.youracclaim.com/badges/de1041a2-7ab2-4456-b13c-29bfc0ea573b?source=linked_in_profile	Issued Mar 2021	IIBA-Entry Certificate in Business Analysis™ (ECBA™)	IIBA			Microsoft Excel Expert (Microsoft 365 Apps and Office 2019)	Microsoft	Issued Mar 2021	https://www.linkedin.com/in/y510/details/certifications?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAcVp2YB7mPihmNxTgI2tYVcyhAi_4oxgdk	Show credential	Show all 6 licenses & certifications		
									Skills	Senior Data Scientist at Oracle	Generative AI					Senior Data Scientist at Oracle		Senior Data Scientist at Oracle				Langgraph																https://www.linkedin.com/search/results/all/?keywords=Generative+AI&origin=PROFILE_PAGE_SKILL_NAVIGATION	https://media.licdn.com/dms/image/v2/D4E0BAQHYCgYovUuPtQ/company-logo_100_100/company-logo_100_100/0/1665755678957/oracle_logo?e=1759363200&v=beta&t=TUQNNBTu5oJvX0ZEU4g2iDuafXrt82RW7VhjFxKT1jo			https://www.linkedin.com/search/results/all/?keywords=Langgraph&origin=PROFILE_PAGE_SKILL_NAVIGATION	https://media.licdn.com/dms/image/v2/D4E0BAQHYCgYovUuPtQ/company-logo_100_100/company-logo_100_100/0/1665755678957/oracle_logo?e=1759363200&v=beta&t=TUQNNBTu5oJvX0ZEU4g2iDuafXrt82RW7VhjFxKT1jo			Generative AI				Langgraph			https://www.linkedin.com/in/y510/details/skills?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAcVp2YB7mPihmNxTgI2tYVcyhAi_4oxgdk		Show all 27 skills		
									Recommendations		Received					Given		Nothing to see for now		Recommendations that Yash receives will appear here.																										Nothing to see for now	Recommendations that Yash receives will appear here.									Received	Given
							Follow	Follow	Interests		Top Voices	https://www.linkedin.com/in/smritimishra				Companies		Groups		Newsletters		Schools	Smriti Mishra	Data Science & Engineering | LinkedIn Top Voice Tech & Innovation | Mentor @ Google for Startups | 30 Under 30 STEM & Healthcare	85,285 followers	Aleksa Gordić	Ship, ship | x-Google DeepMind	106,954 followers										https://www.linkedin.com/in/smritimishra	https://media.licdn.com/dms/image/v2/D4D03AQG-Nmsjif808w/profile-displayphoto-shrink_100_100/B4DZYO7U5IGkAU-/0/1744007155896?e=1759363200&v=beta&t=IGoVKOY0yK4gWT87f8Gkyat1hE9HdYoq2CfFwS6RFPk	https://www.linkedin.com/in/aleksagordic	https://www.linkedin.com/in/aleksagordic	https://www.linkedin.com/in/y510/details/interests?profileUrn=urn%3Ali%3Afsd_profile%3AACoAAAcVp2YB7mPihmNxTgI2tYVcyhAi_4oxgdk&tabIndex=0&detailScreenTabIndex=0	https://media.licdn.com/dms/image/v2/D4D03AQGgXs-TpmqE-w/profile-displayphoto-scale_100_100/B4DZj76gqqH4Ag-/0/1756573076621?e=1759363200&v=beta&t=6_jX710tjXzIA3tfwt7Z3LUz9fzOd6JEkPb1VcVJZ38		85,285 followers	Smriti Mishra	Data Science & Engineering | LinkedIn Top Voice Tech & Innovation | Mentor @ Google for Startups | 30 Under 30 STEM & Healthcare	Ship, ship | x-Google DeepMind		Aleksa Gordić		106,954 followers		Show all Top Voices		Top Voices	Companies
